Date From,Date To,Name,Venue,Country,Category,Calendar,Class,EMail,Website
10/25/2024,11/3/2024,Vuelta Ciclistica Internacional a Guatemala,,GUA,ME,AME,2.2,fciclismo.guatemala@gmail.com,www.fedeciclismogua.org
11/1/2024,11/3/2024,Tour do Rio,,BRA,ME,AME,2.2,cbc@cbc.esp.br,www.cbc.esp.br
11/2/2024,11/2/2024,Caribbean Road Championships  - WE - ITT,,GUY,WE,AME,1.2,jorgeblasdiaz@hotmail.com,https://www.copaci.org
11/2/2024,11/2/2024,Caribbean Road Championships  - ME - ITT,,GUY,ME,AME,1.2,jorgeblasdiaz@hotmail.com,https://www.copaci.org
11/2/2024,11/2/2024,2024 Tour de France Saitama Criterium,"Saitama City, Saitama Pref, Japan",JPN,ME,ASI,CRTP,cycle-jigyou@saitamasc.jp,https://saitama-criterium.jp/
11/3/2024,11/3/2024,Caribbean Road Championships  - WE - IRR,,GUY,WE,AME,1.2,jorgeblasdiaz@hotmail.com,https://www.copaci.org
11/3/2024,11/3/2024,Caribbean Road Championships  - ME - IRR,,GUY,ME,AME,1.2,jorgeblasdiaz@hotmail.com,https://www.copaci.org
11/9/2024,11/10/2024,National Road Championships - Peru (Junior ITT),,PER,,AME,CN,presidencia@fedepeci.pe; administracion@fedepeci.pe,
11/10/2024,11/10/2024,Tour de France Prudential Singapore Criterium,Esplanade Park,SIN,ME,ASI,CRTP,agnes@evokeexp.com,https://singaporecriterium.com/
11/11/2024,11/17/2024,Vuelta Ciclística al Ecuador,,ECU,ME,AME,2.2,secretaria@fec.ec,www.fec.ec
11/21/2024,11/24/2024,Vuelta Femenina al Ecuador,,ECU,WE,AME,2.2,secretaria@fec.ec,www.fec.ec
11/24/2024,11/24/2024,Beking,Monaco,MON,ME,EUR,CRTP,info@bekingevents.com,www.bekingevents.com
12/6/2024,12/8/2024,Tour de Siak,,INA,ME,ASI,2.2,pemasaran.pariwistasiak@gmail.com,
12/7/2024,12/10/2024,National Road Championships - India,,IND,,ASI,CN,secretarygeneral@cfiindia.in,www.cfiindia.in
12/8/2024,12/9/2024,National Road Championships - Chinese Taipei,,TPE,,ASI,CN,tourdetw@ms35.hinet.net,https://cycling.org.tw/
12/13/2024,12/22/2024,Vuelta Ciclista Internacional a Costa Rica,,CRC,ME,AME,2.2,fecoci@fecoci.net,www.fecoci.net
1/8/2025,1/12/2025,National Road Championships - Australia,,AUS,,OCE,CN,events@auscycling.org.au,https://www.roadnationals.org.au/
1/12/2025,1/19/2025,Vuelta al Táchira en Bicicleta,,VEN,ME,AME,2.2,"atccontacto1@gmail.com, vueltachiraenbicicleta",www.lavueltaaltachira.com
1/12/2025,1/19/2025,National Road Championships - Lesotho,,LES,,AFR,CN,makatilerammotang@yahoo.com,lesothocycling.co.ls
1/17/2025,1/19/2025,National Road Championships - Thailand,,THA,,ASI,CN,thaicyclingassociation.tca@gmail.com,https://www.thaicycling.or.th
1/17/2025,1/19/2025,Santos Tour Down Under,,AUS,WE,MON,2.WWT,tourdownunder2@sa.gov.au; jess.sherwell@sa.gov.au,tourdownunder.com.au
1/18/2025,1/18/2025,Villawood Men's Classic,,AUS,ME,OCE,CRTP,tourdownunder@sa.gov.au; jess.sherwell@sa.gov.au,https://tourdownunder.com.au/
1/21/2025,1/26/2025,Santos Tour Down Under,,AUS,ME,UWT,2.UWT,Tourdownunder2@sa.gov.au; jess.sherwell@sa.gov.au,www.tourdownunder.com.au
1/22/2025,1/26/2025,Tour du Sahel,,MTN,ME,AFR,2.2,fncmauritanie@gmail.com,
1/24/2025,1/24/2025,Classica Camp de Morvedre,,ESP,ME,EUR,1.2,info@sierra-calderona.com,
1/24/2025,1/28/2025,Tour of Sharjah,,UAE,ME,ASI,2.2,sharjahtour@sharjahsports.shj.ae,www.sharjahtour.ae
1/25/2025,1/25/2025,Trofeo Marratxi-Felanitx,,ESP,WE,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
1/25/2025,1/25/2025,Gran Premio Castellón - Ruta de la Cerámica,,ESP,ME,EUR,1.1,ccsepelaco@gmail.com,www.gpcastellon.es
1/26/2025,1/26/2025,Schwalbe Women's One Day Classic,,AUS,WE,OCE,1.Pro,tourdownunder@sa.gov.au; jess.sherwell@sa.gov.au,https://tourdownunder.com.au/
1/26/2025,1/26/2025,Clàssica Comunitat Valenciana 1969 - Gran Premi València,,ESP,ME,EUR,1.1,info@cclamarina.org,voltalamarina.com
1/26/2025,1/26/2025,Trofeo Palma Femina,,ESP,WE,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
1/27/2025,1/27/2025,Trofeo Binissalem-Andratx,,ESP,WE,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
1/28/2025,2/1/2025,AlUla Tour,,KSA,ME,ASI,2.1,jmmarino@aso.fr,www.thealulatour.com
1/29/2025,1/29/2025,Trofeo Calvià,,ESP,ME,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
1/29/2025,1/29/2025,Surf Coast Classic - Women,,AUS,WE,OCE,1.1,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
1/30/2025,1/30/2025,Surf Coast Classic - Men,,AUS,ME,OCE,1.1,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
1/30/2025,1/30/2025,"Trofeo Ses Salines
 Trofeo Ses Salines
 Trofeo Ses Salines",,ESP,ME,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
1/31/2025,1/31/2025,Trofeo Serra Tramuntana,,ESP,ME,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
1/31/2025,2/2/2025,National Road Championships - Ecuador,,ECU,,AME,CN,secretaria@fec.ec,www.fec.ec
2/1/2025,2/1/2025,Trofeo Andratx - Pollença,,ESP,ME,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
2/1/2025,2/1/2025,Grand Prix Antalya,,TUR,ME,EUR,1.2,info@bisiklet.gov.tr,www.bisiklet.gov.tr
2/1/2025,2/1/2025,Cadel Evans Great Ocean Road Race - Women,,AUS,WE,MON,1.WWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
2/2/2025,2/2/2025,Grand Prix Cycliste de Marseille La Marseillaise,,FRA,ME,EUR,1.1,pguille@lamarseillaise.fr,www.lamarseillaise.fr
2/2/2025,2/2/2025,Cadel Evans Great Ocean Road Race - Men,,AUS,ME,UWT,1.UWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au
2/2/2025,2/2/2025,Trofeo Palma,,ESP,ME,EUR,1.1,info@unisportconsulting.com,https://vueltamallorca.com/challenge-mallorca/
2/5/2025,2/9/2025,Etoile de Bessèges - Tour du Gard,,FRA,ME,EUR,2.1,etoiledebesseges@orange.fr,www.etoiledebesseges.com
2/5/2025,2/9/2025,Volta a la Comunitat Valenciana,,ESP,ME,EUR,2.Pro,dir@vueltacv.com,www.vueltacv.com
2/6/2025,2/8/2025,National Road Championships - New Zealand,,NZL,,OCE,CN,events@cnz.kiwi,eliteroadnationals.nz
2/6/2025,2/9/2025,National Road Championships - Colombia,,COL,,AME,CN,presidencia@federacioncolombianadeciclismo.com,www.federacioncolombianadeciclismo.com
2/6/2025,2/9/2025,UAE Tour Women,,UAE,WE,MON,2.WWT,f.damico@rcssportsandevents.com ; AAlyaqoubi@adsc.gov.ae,
2/7/2025,2/7/2025,Muscat Classic,,OMA,ME,ASI,1.1,fperque@aso.fr,
2/7/2025,2/9/2025,National Road Championships - Uruguay,,URU,,AME,CN,secretaria@federacionciclista.com.uy,federacionciclista.com.uy
2/7/2025,2/9/2025,National Road Championships - Namibia,,NAM,,AFR,CN,mfreyer@outlook.com,
2/7/2025,2/16/2025,Asian Road Cycling Championships,Phitsanulok Province,THA,,ASI,CC,acccycling@hotmail.com,http://accasia.org/
2/8/2025,2/8/2025,Grand Prix Aspendos,,TUR,ME,EUR,1.2,info@bisiklet.gov.tr,www.bisiklet.gov.tr
2/8/2025,2/8/2025,Grand Prix Sakiat Sidi Youcef,,ALG,ME,AFR,1.2,alg.cyc.fed@gmail.com,https://facyclisme.com
2/8/2025,2/8/2025,Criterium de Kigali,,RWA,ME,AFR,CRT,ferwacy@yahoo.fr,https://ferwacy.rw
2/8/2025,2/12/2025,Tour of Oman,,OMA,ME,ASI,2.Pro,fperque@aso.fr,www.letour.fr
2/9/2025,2/9/2025,Vuelta CV Feminas,,ESP,WE,EUR,1.Pro,feminas@vueltacv.com,www.vueltacv.com
2/9/2025,2/18/2025,Tour d'Algérie,,ALG,ME,AFR,2.2,alg.cyc.fed@gmail.com,https://facyclisme.com
2/13/2025,2/16/2025,Setmana Ciclista Volta Femenina de la Comunitat Valenciana,,ESP,WE,EUR,2.Pro,ruben.donet@ccescapada.com,https://setmanaciclista.com/
2/14/2025,2/16/2025,Tour de la Provence,,FRA,ME,EUR,2.1,gdharcourt@laprovence.com,
2/15/2025,2/15/2025,Vuelta a la Región de Murcia “Costa Cálida”,,ESP,ME,EUR,1.1,pacoguzman@vueltamurcia.es,www.vueltamurcia.es
2/16/2025,2/16/2025,Clasica de Almeria,,ESP,ME,EUR,1.Pro,clasicadealmeria@hotmail.com,www.clasicadealmeria.net
2/16/2025,2/16/2025,Clásica de Jaén Nation’s Cup Women,,ESP,WJ,EUR,1.Ncup,mompa@laatsteronde.es,
2/16/2025,2/16/2025,Figueira Champions Classic,,POR,ME,EUR,1.Pro,administracao@fullracing.pt,www.figueirachampionsclassic.com
2/17/2025,2/17/2025,Clásica Jaén,,ESP,ME,EUR,1.1,mompa@laatsteronde.es,https://clasicajaen.com/
2/17/2025,2/23/2025,UAE Tour,,UAE,ME,UWT,2.UWT,f.damico@rcssportsandevents.com;AAlyaqoubi@adsc.gov.ae,www.theuaetour.com
2/19/2025,2/23/2025,Volta ao Algarve em Bicicleta,,POR,ME,EUR,2.Pro,geral@fpciclismo.pt,www.voltaaoalgarve.com
2/19/2025,2/23/2025,Vuelta a Andalucia Ruta Ciclista Del Sol,,ESP,ME,EUR,2.Pro,joaquin@deporinter.es,www.vueltaandalucia.es
2/20/2025,2/20/2025,Grand Prix Sonatrach,,ALG,ME,AFR,1.2,alg.cyc.fed@gmail.com,https://facyclisme.com
2/20/2025,2/23/2025,National Road Championships - Pakistan,,PAK,,ASI,CN,pakistan.cycling@pcf.com.pk,
2/21/2025,2/21/2025,Classic Var,,FRA,ME,EUR,1.1,tour0683@nicematin.fr,ncematin.com
2/22/2025,2/22/2025,Grand Prix de la Ville d'Alger,,ALG,ME,AFR,1.2,alg.cyc.fed@gmail.com,hptts://facyclisme.com
2/22/2025,2/23/2025,Tour des Alpes-Maritimes,,FRA,ME,EUR,2.1,tour0683@nicematin.fr,www.tour06-83.com
2/23/2025,2/23/2025,Clasica de Almeria,,ESP,WE,EUR,1.1,clasicadealmeria@hotmail.com,www.clasicadealmeria.net
2/23/2025,3/2/2025,Tour du Rwanda,,RWA,ME,AFR,2.1,contact@tourdurwanda.rw,www.tourdurwanda.rw
2/24/2025,2/24/2025,National Criterium Championships - Philippines,,PHI,WE,ASI,CRT,philcycling@gmail.com,https://www.facebook.com/philcycling
2/24/2025,2/24/2025,National Criterium Championships - Philippines,,PHI,ME,ASI,CRT,philcycling@gmail.com,https://www.facebook.com/philcycling
2/25/2025,2/28/2025,National Road Championships - Philippines,,PHI,,ASI,CN,philcycling@gmail.com,https://www.facebook.com/philcycling
2/26/2025,3/2/2025,O Gran Camiño -  The Historical Route,,ESP,ME,EUR,2.1,EME@EMESPORTS.ES,
3/1/2025,3/1/2025,Omloop Nieuwsblad,,BEL,WE,MON,1.WWT,maja.leye@flandersclassics.be,www.omloopnieuwsblad.be
3/1/2025,3/1/2025,Omloop Nieuwsblad,,BEL,ME,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.omloopnieuwsblad.be
3/1/2025,3/1/2025,Faun-Ardèche Classic,,FRA,ME,EUR,1.Pro,guillaume.delpech@bdao.info,www.boucles-drome-ardeche.fr
3/1/2025,3/1/2025,Gran Premio San Vicente - Costa Blanca - Junior C.R.I.,,ESP,MJ,EUR,1.1,info@costablancachallenge.es,www.costablancachallenge.es
3/1/2025,3/2/2025,Visit South Aegean Islands,,GRE,ME,EUR,2.2,rhodescycling@gmail.com,www.rhodestour.gr
3/2/2025,3/2/2025,Faun Drome Classic,,FRA,ME,EUR,1.Pro,guillaume.delpech@bdao.info,www.boucles-drome-ardeche.fr
3/2/2025,3/2/2025,Kuurne - Brussel - Kuurne Juniors,,BEL,MJ,EUR,1.1,info@kbk.be,www.kuurne-brussel-kuurne.be
3/2/2025,3/2/2025,Kuurne - Brussel - Kuurne,,BEL,ME,EUR,1.Pro,info@kbk.be,www.kuurne-brussel-kuurne.be
3/2/2025,3/2/2025,Gran Premio San Vicente - Costa Blanca - Junior Ruta,,ESP,MJ,EUR,1.1,info@costablancachallenge.es,www.costablancachallenge.es
3/2/2025,3/2/2025,Omloop van het Hageland,,BEL,WE,EUR,1.1,info@omloophageland.be,www.cttilt.be
3/4/2025,3/4/2025,Le Samyn des Dames,,BEL,WE,EUR,1.1,Ph.lienart@outlook.fr,ws-sport.events
3/4/2025,3/4/2025,Ename Samyn Classic,,BEL,ME,EUR,1.1,Ph.liénart@outlook.fr,ws-sport.events
3/5/2025,3/5/2025,UMAG Classic Ladies,,CRO,WE,EUR,1.2,ivan.crnjaric@thorax.hr,
3/5/2025,3/5/2025,UMAG Classic,,CRO,ME,EUR,1.2,ivan.crnjaric@thorax.hr,
3/5/2025,3/5/2025,Trofeo Laigueglia,,ITA,ME,EUR,1.Pro,laigueglia@comune.laigueglia.sv.it,www.trofeolaigueglia.it
3/6/2025,3/8/2025,Vuelta a Extremadura Femenina,,ESP,WE,EUR,2.1,federacion@ciclismoextremadura.es,www.ciclismoextremadura.es
3/7/2025,3/11/2025,BIWASE Tour of Vietnam,,VIE,WE,ASI,2.2,vncycling@yahoo.com,
3/8/2025,3/8/2025,National Criterium - Zimbabwe,,ZIM,ME,AFR,CRT,secretarygeneral@cyclingzimbabwe.org,
3/8/2025,3/8/2025,Strade Bianche Donne,,ITA,WE,MON,1.WWT,giusy.virelli@rcs.it,www.strade-bianche.it
3/8/2025,3/8/2025,Rhodes GP,,GRE,ME,EUR,1.2,rhodescycling@gmail.com,www.rhodestour.gr
3/8/2025,3/8/2025,Le Tour des 100 Communes,,FRA,ME,EUR,1.2,rso.tour100communes@gmail.com,regionsportorgansation.fr
3/8/2025,3/8/2025,Grand Prix Criquielion,,BEL,ME,EUR,1.1,info@ententecyclisteacrenoise.be,www.ententecyclisteacrenoise.be
3/8/2025,3/8/2025,Strade Bianche,,ITA,ME,UWT,1.UWT,stefano.allocchio@rcs.it,www.strade-bianche.it
3/9/2025,3/9/2025,Grote prijs Jean - Pierre Monseré,,BEL,ME,EUR,1.1,info@gpmonsere.be,www.gpmonsere.be
3/9/2025,3/9/2025,POREČ Classic,,CRO,ME,EUR,1.2,ivan.crnjaric@thorax.hr,
3/9/2025,3/9/2025,POREČ Classic Ladies,,CRO,WE,EUR,1.2,ivan.crnjaric@thorax.hr,
3/9/2025,3/9/2025,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,,FRA,ME,EUR,1.2,rso.gplillers@gmail.com,gp2lillers.fr
3/9/2025,3/9/2025,Trofeo Oro in Euro - Women's Bike Race,,ITA,WE,EUR,1.1,montignosociclismo@gmail.com,www.montignosociclismo.org
3/9/2025,3/9/2025,Dorpenomloop Rucphen,,NED,ME,EUR,1.2,info@dorpenomlooprucphen.nl,www.dorpenomlooprucphen.nl
3/9/2025,3/9/2025,Gran Premi Les Franqueses KH7,,ESP,MJ,EUR,1.1,bicicletesegu@gmail.com,www.ucfciclisme.com
3/9/2025,3/16/2025,Paris-Nice,,FRA,ME,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr
3/10/2025,3/16/2025,Tirreno-Adriatico,,ITA,ME,UWT,2.UWT,stefano.allocchio@rcs.it,www.tirrenoadriatico.it
3/11/2025,3/14/2025,Trofeo Ponente in Rosa,,ITA,WE,EUR,2.2,TROFEOPONENTEROSA@GMAIL.COM,www.loabikers.com
3/12/2025,3/12/2025,Ixina GP Oetingen p/b Lotto,,BEL,WE,EUR,1.Pro,Steven@gooiksportief.be,www.gooiksportief.be
3/13/2025,3/16/2025,Tour of Rhodes Powered by Rodos Palace,,GRE,ME,EUR,2.2,rhodescycling@gmail.com,www.rhodestour.gr
3/13/2025,3/16/2025,Istrian Spring Tour,,CRO,ME,EUR,2.2,ivan.crnjaric@thorax.hr,
3/14/2025,3/16/2025,National Road Championships - Panamá,,PAN,,AME,CN,info@fepaci.com.pa,https://fepaci.com.pa/
3/15/2025,3/15/2025,Danilith Nokere Koerse MJ,,BEL,MJ,EUR,1.1,info@nokerekoerse.be,www.nokerekoerse.be
3/16/2025,3/16/2025,Popolarissima,,ITA,ME,EUR,1.2,uctrevigiani@libero.it,
3/16/2025,3/16/2025,Piccolo Trofeo Alfredo Binda - Valli del Verbano,,ITA,WJ,EUR,1.Ncup,mario.minervino@trofeobinda.com; mario.minervino@email.it,www.cyclingsportpromotion.com
3/16/2025,3/16/2025,Trofeo Alfredo Binda - Comune di Cittiglio,,ITA,WE,MON,1.WWT,mario.minervino@email.it; mario.minervino@trofeobinda.com,www.cyclingsportpromotion.com
3/16/2025,3/20/2025,Tour de Taiwan,,TPE,ME,ASI,2.1,tourdetw@ms35.hinet.net,www.cycling.org.tw
3/19/2025,3/19/2025,Danilith Nokere Koerse WE,,BEL,WE,EUR,1.Pro,info@nokerekoerse.be,www.nokerekoerse.be
3/19/2025,3/19/2025,Milano - Torino,,ITA,ME,EUR,1.Pro,luca.papini@rcs.it,www.milanotorino.it
3/19/2025,3/19/2025,Danilith Nokere Koerse,,BEL,ME,EUR,1.Pro,info@nokerekoerse.be,www.nokerekoerse.be
3/20/2025,3/20/2025,Grand Prix de Denain - Porte du Hainaut,,FRA,ME,EUR,1.Pro,dominique.serrano@gpdenain.fr; contact@gpdenain.fr,www.gpdenain.fr
3/21/2025,3/21/2025,Youngster Coast Challenge,,BEL,MU,EUR,1.2U,info@bredenekoksijdeclassic.be,www.bredenekoksijdeclassic.be
3/21/2025,3/21/2025,Bredene Koksijde Classic,,BEL,ME,EUR,1.Pro,info@bredenekoksijdeclassic.be,www.bredenekoksijdeclassic.be
3/22/2025,3/22/2025,Milano-Sanremo Donne,,ITA,WE,MON,1.WWT,giusy.virelli@rcs.it,
